"code";"text";"pt3";"pos"
"8036";"AC KOMPRESSOR/FÄSTE";"AC compressor bracket";""
"8037";"AC TRYCKVAKT";"AC pressure sensor";""
"8038";"AC FÖRGASARE TOMGÅNGSSOLENOID";"AC Förgasare Tomgångssolenoid";""
"8039";"AC/VÄRME ENHET SKÅP";"AC/Värme enhet Skåp";""
"8040";"KYLFLÄKTSMOTSTÅND";"Kylfläktsmotstånd";""
"8071";"AIRBAG KROCKGARDIN VÄ";"Curtain airbags";"Left"
"8072";"AIRBAG KROCKGARDIN HÖ";"Curtain airbags";"Right"
"8074";"AIRBAG STOLMONTERAD";"Seat assembled";""
"8075";"AIRBAG SIDOKROCKKUDDE VÄ";"Side airbags";"Left"
"8076";"AIRBAG SIDOKROCKKUDDE HÖ";"Side airbags";"Right"
"8077";"AIRBAG KNÄ";"Knee";""
"8078";"AIRBAG KROCKSENSOR";"Airbag krocksensor";""
"8080";"AIRBAG TAK";"Roof assembled";""
"8081";"AIRBAG FRONTSENSOR VÄ";"Airbag Front sensor";"Left"
"8082";"AIRBAG FRONTSENSOR HÖ";"Airbag Front sensor";"Right"
"8083";"AIRBAG ELEKTRONIKENHET";"Airbag Control unit";""
"8084";"AIRBAG KONTAKTRULLE";"Contact roll Airbag ";""
"8085";"AIRBAG RATTKUDDE";"Steering wheel airbag";""
"8086";"AIRBAG PASSAGERARKUDDE";"Passenger airbag";""
"8087";"AIRBAG BÄLTESSPÄNNARE VÄ";"Seat belt buckles";"Left"
"8088";"AIRBAG BÄLTESSPÄNNARE HÖ";"Seat belt buckles";"Right"
"8089";"AIRBAG SÄKERHETSBÄLTE BAK";"Seat belt";"Rear"
"8090";"AIRBAG ÖVRIGT";"Other airbags";""
"8099";"KYL/VÄRME ÖVRIGT";"Other Cooling / Heating";""
"9001";"DIM 155/80-13";"DIM 155/80-13";""
"9002";"DIM 195/40-16";"DIM 195/40-16";""
"9003";"DIM 265/65-18";"DIM 265/65-18";""
"9004";"DIM 245/40-21";"DIM 245/40-21";""
"9005";"DIM 305/55-20";"DIM 305/55-20";""
"9006";"DIM 235/75-17,5";"DIM 235/75-17,5";""
"9007";"DIM 285/40-20";"DIM 285/40-20";""
"9008";"DIM 425/65R-22,5";"DIM 425/65R-22,5";""
