"code";"SV";"DE";"pos"
"2073";"INSUGSVENTIL";"Einlassventil";""
"2074";"RAMLAGER";"Ramlager";""
"2075";"VEVSTAKSLAGER";"Vevstakslager";""
"2076";"VENTILSTYRNING/AR";"Ventilsteuerung/en";""
"2077";"VENTILTÄTNINGAR";"Ventildichtung";""
"2078";"KOLVAR";"Kolben";""
"2079";"TÄNDSTIFT";"Tändstift";""
"2080";"KAMSTÄLLNINGSVENTIL";"Kamställningsventil";""
"2081";"AGGREGATREM/FLÄKTREM";"Aggregatrem/Fläktrem";""
"2082";"PACKNING OLJELOCK/OLJERÖR/OLJEPLUGG";"Packning Oljelock/Oljerör/Oljeplugg";""
"2083";"PACKNING TOPPLOCK";"Packning Topplock";""
"2084";"PACKNING SPJÄLLHUS";"Packning Spjällhus";""
"2085";"PACKNING VATTENPUMP";"Packning Vattenpump";""
"2086";"PACKNING VÄXELLÅDA";"Packning Växellåda";""
"2087";"PACKNING BAKAXEL";"Packning Bakaxel";""
"2088";"PACKNING FÖRGASARE";"Packning Förgasare";""
"2101";"BILVAX";"Autowax";""
"2105";"BILSCHAMPO";"Autoschampo";""
"2110";"SKYDDSHANDSKAR";"Schutzhandshuhe";""
"2115";"BATTERILADDARE";"Batterielader";""
"2116";"VARNINGSTRIANGEL";"Varningstriangel";""
"2126";"BROMSOKSFÄRG";"Bromsoksfärg";""
"2127";"FÄRG ÖVRIGT";"Färg Övrigt";""
"2128";"VERSTADSUTRUSTNING";"Verkstadsutrustning";""
"2129";"GLÖDLAMPA ÖVRIGT";"Glödlampa övrigt";""
"2130";"STYLING / TUNING";"Styling / Tuning";""
"2999";"BILTILLBEHÖR ÖVRIGT";"Übrige Wagenzubehör";""
"3000";"DÖRR DEFORMATIONSELEMENT";"Deformationselement Dörr";""
"3001";"DÖRR 2D VÄ";"2T Tür";"Links"
"3002";"DÖRR 2D HÖ";"2T Tür";"Recht"
"3003";"DÖRRGÅNGJÄRN";"Scharnier";""
"3004";"LÅSCYLINDER/CYLINDRAR";"Verriegelung Tür Cylinder/Cylindrar";""
"3005";"DÖRRUTA 2D VÄ";"2T Hebefenster";"Links"
"3006";"DÖRRUTA 2D HÖ";"2T Hebefenster";"Recht"
"3007";"DÖRRHANDTAG YTTRE VÄ";"Türgriff Aussen";"Links"
"3008";"DÖRRHANDTAG YTTRE HÖ";"Türgriff Aussen";"Recht"
"3009";"LÅSSATS/DÖRRAR";"Låssats Dörrar";""
"3010";"LÅSKISTA/DÖRRLÅS";"Låskista Dörrlås";""
"3011";"DÖRR FRAM VÄ";"4T Tür";"Vorn Links"
"3012";"DÖRR FRAM HÖ";"4T Tür";"Vorn Recht"
"3013";"DÖRR BAK VÄ";"4T Tür";"Hinten Links"
"3014";"DÖRR BAK HÖ";"4T Tür";"Hinten Recht"
"3015";"DÖRRSTOPP";"Tür-stopp";""
"3016";"DÖRRUTA FRAM VÄ";"4T Hebefenster";"Vorn Links"
"3017";"DÖRRUTA FRAM HÖ";"4T Hebefenster";"Vorn Recht"
"3018";"DÖRRUTA BAK VÄ";"4T Hebefenster";"Hinten Links"
"3019";"DÖRRUTA BAK HÖ";"4T Hebefenster";"Hinten Recht"
"3020";"DÖRRUTERAM";"Fensterrahmen";""
"3021";"DÖRR VENTRUTA FRAM";"Ventilationsfenster mit Rahmen";"Vorn"
"3022";"DÖRR GUMMILIST";"Gummileiste";""
"3023";"FÖNSTERHISSMEKANISM";"El. Fensterheber Mechanismus";""
"3024";"FÖNSTERHISS EL KOMPL.";"Fönsterhiss elektrisk kompl.";""
"3025";"FÖNSTERHISSMOTOR";"Fensterheber Motor";""
"3026";"SPEGELGLAS HÖ";"Rückspiegelglas";"Recht"
"3027";"SPEGELGLAS VÄ";"Rückspiegelglas";"Links"
"3028";"DÖRRÖPPNARE AUTOMATISK";"Dörröppnare Automatiskt";""
"3029";"DÖRRFACK";"Türfach";""
"3030";"SKJUTDÖRR GÅNGJÄRN/RULLAR";"Gångjärn/Rullar till skjutdörr";""
"3031";"SPEGEL YTTRE VÄ";"Rückspiegel Manuell";"Links"
"3032";"SPEGEL YTTRE HÖ";"Rückspiegel Manuell";"Recht"
"3033";"SPEGEL REGLERMOTOR";"Rückpiegel Regliermotor";""
"3034";"VINDRUTERAM";"Windschutzscheibenrahmen";""
"3035";"VINDRUTA";"Windschutsscheibe";""
"3036";"SIDORUTA BAK VÄ/KAROSS";"Seitenfenster/Karosserie";"Links"
"3037";"SIDORUTA BAK HÖ/KAROSS";"Seitenfenster/Karosserie";"Recht"
"3038";"TAKLUCKA VINDAVISARE";"Sonnendach Windabweiser";""
"3039";"TAKRELING/TAKRÄCKE";"Dachreling/Dachträger";""
"3040";"TAKLUCKA";"Sonnendach";""
"3041";"SPEGEL YTTRE JUSTERBAR VÄ";"Rückspiegel Justierbar";"Links"
"3042";"SPEGEL YTTRE JUSTERBAR HÖ";"Rückspiegel Justierbar";"Recht"
"3043";"SPEGEL YTTRE EL VÄ";"Rückspiegel Elektrisch";"Links"
"3044";"SPEGEL YTTRE EL HÖ";"Rückspiegel Elektrisch";"Recht"
"3045";"TAK / GLASTAK";"Dach / Glasdach";""
"3046";"TAKLUCKSMOTOR";"Sonnendachmotor";""
"3047";"TAKLUCKSVEV";"Sonnendachhebel";""
"3048";"VINDAVVISARE/TAKKÅPA";"Vindavvisare/Takkåpa";""
"3049";"TAKBOX";"Dachbox";""
"3050";"DÖRR VÄ/HÖ SIDO-SKJUTDÖRR";"Seiten- Schiebetür Van/Kasten";""
"3051";"HYTT";"Fahrerhaus";""
"3052";"FLAKKÅPA/SKÅP";"Pritschekasten/Kasten";""
"3053";"FLAK";"Pritsche";""
